START,2014/06/30
2,420,420,420,410,410,420,440,540,800,1070,1220,1250,1200,1270,1320,1330,1310,1170,950,800,690,550,500,460
3,28,27,29,27,28,25,25,33,46,57,74,75,72,70,73,79,79,73,64,51,37,33,31,31
4,12,12,12,12,12,11,13,32,101,144,144,137,69,60,58,59,59,46,19,18,19,14,13,13
5,16,17,17,16,16,15,16,24,63,101,108,108,123,132,137,141,139,76,57,53,51,23,18,18
6,99,98,93,92,94,87,101,115,134,195,228,238,250,254,270,276,276,267,207,171,144,121,116,105
7,20,19,19,19,19,18,19,23,34,48,58,61,68,77,77,74,69,66,56,46,40,32,25,22
8,44,43,44,44,44,45,50,68,144,210,249,259,246,274,286,280,269,251,215,182,152,96,67,52
9,7,4,5,5,5,5,5,5,13,29,32,36,36,39,41,42,41,38,30,24,19,15,12,7
10,6,6,7,6,7,6,10,25,27,42,54,55,37,60,60,55,61,67,52,14,9,9,8,9
11,20,18,18,18,17,16,16,15,22,33,44,57,68,70,75,71,73,67,62,56,37,29,28,27
12,171,171,170,170,170,182,189,197,206,214,223,222,228,225,244,252,237,213,191,187,180,174,174,174
13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,1,1,1,1,1,1,2,1,3,3,4,4,3,4,6,5,5,3,2,2,2,1,1,1
15,2,3,3,2,3,3,2,3,3,3,4,4,4,4,5,3,4,4,3,3,3,2,3,2
16,1,1,1,1,1,1,1,2,2,4,4,5,5,7,5,6,8,5,5,4,4,4,1,2
17,16,17,17,16,16,15,15,25,62,101,107,109,122,132,136,140,140,75,57,52,51,23,18,18
18,3,2,3,3,2,3,2,1,28,65,65,69,73,75,77,78,76,22,21,21,22,4,2,3
19,10,10,10,9,10,9,10,10,14,17,26,24,28,30,34,36,38,35,27,24,22,14,11,10
20,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
21,0,0,0,0,0,0,0,1,27,48,45,49,49,53,54,54,54,0,1,0,0,0,0,0
22,3,3,3,2,3,2,3,11,19,16,16,14,20,24,23,24,22,17,7,5,4,4,4,4
23,43,44,43,44,43,45,49,67,144,209,248,258,245,273,286,279,268,251,214,180,152,96,66,52
24,4,5,5,5,5,5,6,5,7,10,9,7,9,11,12,11,9,10,6,4,5,5,4,5
25,7,7,7,8,7,7,8,8,13,18,16,16,17,19,20,19,18,18,11,12,11,7,7,7
26,11,12,11,12,11,12,12,13,50,75,87,87,69,90,92,89,86,80,71,67,50,20,14,12
27,6,6,6,6,6,6,8,11,25,41,44,41,45,47,49,46,44,41,27,17,13,10,8,7
28,12,12,12,12,12,12,13,19,33,44,61,69,70,71,75,77,73,70,70,59,55,47,28,19
29,7,7,7,7,7,7,9,16,17,24,31,34,35,36,37,38,37,32,26,16,15,12,9,7
30,0,0,0,0,0,0,0,0,5,7,7,8,8,9,10,8,9,8,7,8,6,1,0,0
31,20,18,18,17,17,16,16,15,22,32,44,57,68,69,74,71,73,67,61,55,37,29,28,27
32,1,0,1,1,1,1,1,1,0,1,2,1,2,2,1,2,2,2,1,2,1,1,1,1
33,6,3,4,3,3,3,4,3,7,7,12,9,11,12,12,13,11,13,8,10,6,4,5,4
34,10,9,8,9,9,8,6,7,7,13,19,34,39,41,44,39,43,33,32,27,19,15,15,14
35,5,5,5,5,5,4,5,6,7,11,13,14,16,17,17,18,18,21,20,18,12,9,8,8
36,28,27,29,27,28,25,25,32,47,56,74,75,71,70,73,78,79,73,63,52,36,34,31,30
37,1,1,1,0,1,1,1,1,1,2,2,3,2,2,2,4,3,2,2,1,1,0,1,1
38,8,7,8,7,8,7,8,9,13,13,15,17,14,15,16,20,20,19,17,17,9,10,9,9
39,13,12,13,13,12,10,10,16,23,30,35,34,30,30,33,32,32,30,28,22,18,16,14,13
40,8,7,8,7,8,7,7,8,11,13,24,24,27,24,24,26,26,24,18,14,9,8,8,7
41,22,22,21,22,22,22,21,23,22,22,23,22,20,22,21,22,25,23,22,22,23,22,22,21
42,2,2,2,2,2,2,13,8,4,26,34,33,34,34,36,36,35,27,27,26,14,4,3,2
43,3,3,2,2,3,2,4,5,9,13,15,16,16,17,17,16,16,16,12,9,8,6,4,2
44,1,2,2,2,1,2,2,2,28,15,15,14,17,14,15,16,15,16,3,3,2,2,2,2
45,2,2,1,2,2,2,3,13,11,12,12,13,14,13,12,12,12,7,2,2,2,2,2,2
46,1,0,1,0,1,0,1,4,5,7,7,7,6,6,5,6,5,3,1,1,1,1,1,1
47,2,2,2,3,2,2,2,4,6,8,8,9,8,8,8,9,8,7,4,4,4,3,3,3
48,0,0,0,0,0,0,0,0,39,87,85,81,8,4,4,3,4,3,4,4,3,1,0,0
49,0,0,0,1,0,0,0,1,2,5,5,5,5,5,4,5,5,2,0,1,0,0,0,1
50,1,1,1,1,1,1,1,5,5,7,6,6,6,6,6,6,6,4,1,1,2,1,1,1
51,0,0,0,0,1,0,0,2,3,3,3,3,3,3,3,3,3,2,0,1,0,0,0,0
52,1,0,1,0,1,1,0,3,3,2,3,3,2,3,3,3,2,2,1,0,1,1,0,1
53,99,96,94,91,93,86,101,113,134,193,226,236,248,252,267,274,273,265,205,170,144,120,114,105
54,6,5,6,6,6,6,7,6,6,7,6,7,8,8,8,7,7,6,7,6,6,7,6,6
55,20,17,15,15,16,15,17,16,19,22,23,27,28,32,42,41,34,35,23,17,16,14,13,13
56,13,13,12,11,11,10,10,13,13,22,33,38,38,37,38,37,42,45,37,29,25,20,20,18
57,12,12,13,12,12,8,8,21,37,57,65,68,72,74,77,82,82,81,50,30,27,23,23,18
58,20,21,20,20,20,20,20,21,22,23,25,24,30,27,27,30,31,30,27,27,24,24,24,22
59,7,4,5,5,5,5,4,6,12,29,32,36,36,39,40,42,41,38,30,24,19,15,11,8
60,5,3,4,4,3,4,3,4,11,25,28,32,31,33,32,33,31,31,27,22,15,10,6,4
61,2,1,1,2,1,1,1,2,1,4,4,4,4,7,7,9,9,6,3,2,4,5,5,4
62,1,2,1,1,2,1,1,1,1,2,3,3,12,24,20,26,27,28,27,29,10,2,2,2
63,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,15,15,15,16,15,5,0,0,0
65,1,1,2,1,1,1,1,1,1,1,2,3,6,9,5,10,12,12,13,12,6,2,2,1
66,170,170,170,170,170,180,190,200,200,210,230,220,230,220,240,250,240,210,190,190,180,170,180,170
67,2,1,2,1,1,3,2,3,5,3,4,5,5,3,4,4,4,3,3,3,2,2,1,2
68,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2
69,1,0,0,0,1,0,1,1,4,2,4,2,3,3,2,2,2,1,0,0,1,0,0,0
70,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,2,1,1,1,1,1,1,2,4,3,3,4,3,3,3,3,3,3,1,1,2,1,1
73,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,2,2,3,1,2,1,1,1,2
74,40,41,41,40,41,41,41,40,41,42,41,42,41,42,41,42,41,41,41,40,41,41,40,41
75,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2
76,46,47,46,46,46,47,46,47,46,46,47,46,47,46,47,46,46,47,46,46,46,46,47,46
77,46,46,47,46,46,46,47,46,46,46,47,46,46,46,45,46,45,46,45,45,45,46,45,46
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,3,3,3,4,13,14,14,15,14,15,15,17,17,17,17,17,16,3,5,4,3,3,3
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,5,4,5,5,4,5,5,7,7,9,9,9,9,10,9,10,9,8,7,7,7,6,6,6
84,9,10,9,9,9,21,23,23,32,31,38,36,41,40,39,38,38,34,19,16,15,13,13,13
85,140,139,140,140,139,140,141,142,142,143,143,143,143,143,146,146,144,142,139,139,139,139,139,138
86,0,1,1,0,1,1,0,1,2,1,2,1,1,2,7,11,7,2,1,2,2,1,1,1
